,County FIPS,Plant state abbreviation,Plant county name,has_plant,Total Population,People of Color (%),Low Income (%),Less Than High School Education (%),Limited English Speaking (%),Unemployment Rate (%),Under Age 5 (%),Over Age 64 (%)
525,13275,GA,Thomas County,0,45669.0,42.38761523133854,35.23382731386991,13.158736249680224,1.3414155020486052,5.561487809218722,6.017210799448203,17.92682125730802
526,13277,GA,Tift County,0,41148.0,45.416545154077966,46.662069670037795,15.968238288818814,2.361483613527834,2.717391304347826,6.763390687275201,14.690871974336542
527,13279,GA,Toombs County,0,26956.0,40.84433892268883,49.23875042291643,17.67369869296033,2.893956437263524,5.986716404330816,6.959489538507197,16.73838848493842
528,13281,GA,Towns County,0,12300.0,6.504065040650407,31.24453001925433,7.476836888601595,0.0,5.013246382718566,3.2601626016260163,33.65853658536586
529,13283,GA,Treutlen County,0,6410.0,29.765990639625585,49.404170804369414,24.79829140958709,0.35778175313059035,8.375850340136054,5.1170046801872076,18.954758190327613
530,13285,GA,Troup County,0,69483.0,44.58356720348862,39.60436903937147,12.855245105511878,1.2412753807106598,4.920324294101202,6.135313673848279,14.908682699365313
531,13287,GA,Turner County,0,8856.0,46.6576332429991,52.54435107376284,20.336243129647592,4.7721015601101255,8.5189021232522,6.752484191508581,17.98780487804878
532,13289,GA,Twiggs County,0,8034.0,45.00871296987802,39.554108216432866,19.639934533551553,0.38128249566724437,3.0560271646859083,4.904157331341797,22.70351008215086
533,13291,GA,Union County,0,24183.0,6.686515320679816,40.79732532058064,12.252384446074835,0.7471490365709791,3.0573248407643314,3.841541578795021,33.12244138444362
534,13293,GA,Upson County,0,27424.0,33.208138856476076,43.374581562417724,17.3092305231163,0.0771902740254728,3.163103021735289,6.818844807467911,18.08634772462077
535,13295,GA,Walker County,0,67772.0,9.701646697751285,39.02195910230465,15.62813650050184,0.1014475789145109,6.5638261623764835,5.353243227291507,18.515020952605795
536,13297,GA,Walton County,0,95453.0,27.277298775313508,28.603374454194753,12.214394813129266,0.5483353024932593,4.9788473394417405,5.859428200266099,15.56158528280934
537,13299,GA,Ware County,0,36084.0,37.52909876953775,47.12243074173369,18.20479373879015,0.99506385646008,4.495221027479092,6.354617004766655,16.882828954661345
538,13301,GA,Warren County,0,5218.0,62.035262552702186,50.756987577639755,28.458913100551325,0.0,7.266602502406159,6.707550785741663,22.230739747029514
539,13303,GA,Washington County,0,20052.0,57.87452623179733,50.60074955908289,16.00396909773903,0.5452257793932616,4.106029106029106,5.430879712746858,18.05804907241173
540,13305,GA,Wayne County,0,30118.0,29.244969785510328,46.23594907981987,15.481561396626129,0.4702627939142462,4.692956306958521,5.910086991168073,15.917391593067268
541,13307,GA,Webster County,0,2372.0,58.93760539629005,48.22635135135135,19.40828402366864,6.243272335844995,8.449304174950298,1.854974704890388,17.959527824620576
542,13309,GA,Wheeler County,0,7568.0,44.212473572938684,47.52368064952639,27.016498625114572,3.079947575360419,5.264857881136951,4.783298097251586,14.785940803382664
543,13311,GA,White County,0,27886.0,9.298572760524996,31.520341038550587,14.831153027076361,0.4487367086137938,3.9821972358866247,4.826794807430252,22.70673456214588
544,13313,GA,Whitfield County,0,103076.0,42.82180138926617,41.85364798001161,27.68127681276813,5.851154347949401,6.575430558067563,6.4001319414800735,13.869377934727773
545,13315,GA,Wilcox County,0,8841.0,41.070014704218984,51.36548518303312,17.72784019975031,1.3082583810302535,7.157534246575342,4.999434453116163,16.77412057459563
546,13317,GA,Wilkes County,0,9643.0,48.64668671575236,43.70923627182832,19.173363949483353,0.20060180541624875,2.2781205505457995,5.402882920253034,23.146323758166545
547,13319,GA,Wilkinson County,0,8931.0,44.563878625014,48.306433280290975,13.307618129218902,0.6238303181534623,8.16081608160816,5.7216437129100886,19.437912887694548
