State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
MD,1.79,1.94,2.07,2.18,3.39,4,4.13,4.67,4.99,5.65,7.65,8.76,9.04,8.92,8.57,9.02,8.14,7.96,8.02,8.6,9.44,9.69,9.89,10.13,10.22,10.25,10.73,10.51,10.17,10.54,11.87,11.86,11.08,12.34,13.87,16.83,20.02,21.62,25.32,21.11,22.71,25.44,25.65,25.37,25.14,21.05,19.88,21.25,22.11,21.47,20.04,23.64,29.98,28.85
ME,1.93,1.79,1.78,1.97,3.2,3.7,3.6,4,4.26,5.7,7.9,9.08,8.18,8.67,8.57,8.85,7.07,7.6,7.37,7.07,8.09,7.96,7.8,7.87,7.81,7.66,8.18,8.26,8,8.36,9.7,10.18,9.85,11.22,12.55,14.89,17.13,18.83,20.35,17.48,18.72,21.87,21.89,21.72,22.73,17.97,16.82,18.28,20.2,19.29,17.53,21.37,29.77,28.75
MI,1.71,1.78,1.83,2.07,2.9,3.34,3.65,4.17,4.4,5.28,6.57,7.55,7.92,8.15,8.22,8.46,7.52,7.63,7.48,7.72,8.08,8.15,7.97,8.07,8.08,7.96,8.4,8.48,8.32,8.43,9.74,9.94,9.95,10.78,12.14,14.53,16.66,17.57,19.53,16.8,18.34,20.78,21.36,20.35,19.89,16.44,15.59,16.51,17.48,16.9,16.02,19.38,23.37,22.37
MN,1.87,1.92,1.97,2.12,2.83,3.18,3.45,3.88,4.02,5.07,6.9,8.08,8.46,8.51,8.41,8.39,7.28,7.28,7.36,7.51,8.06,7.9,7.83,7.96,7.97,7.75,8.26,8.46,7.9,8.2,9.88,10.42,9.56,10.81,12.14,14.45,16.08,17.12,19.06,15.37,17.05,19.85,20.08,19.75,19.62,16.15,14.87,16.26,17.42,16.61,15.29,18.75,23.81,22.18
MO,1.85,1.97,2.02,2.23,2.91,3.32,3.61,4.04,4.3,5.48,7.19,8.14,8.51,8.59,8.28,8.31,7.42,7.76,7.72,8.13,8.95,8.79,8.56,8.54,8.54,8.55,9.15,9.28,8.61,8.88,11.01,11.04,10.36,11.36,12.71,15.12,16.67,17.8,20.36,16.69,18.73,22.27,22.61,22.32,21.73,18.29,17.23,18.69,19.58,18.77,16.93,20.5,26.1,24.7
MS,1.71,1.8,1.91,2.08,2.85,3.18,3.7,4.22,4.42,5.43,7.26,8.71,8.84,8.14,7.85,8.14,7.26,7.42,7.37,7.38,7.85,7.5,7.37,7.63,7.74,7.67,8.36,8.26,8,7.89,9.77,10.37,9.91,11.01,12.56,15.37,16.98,17.35,21.34,16.83,17.94,20.73,20.56,21.12,20.97,16.96,15.43,16.73,17.96,17.35,15.26,18.93,24.15,22.44
MT,1.56,1.59,1.62,1.83,2.47,2.78,2.89,3.22,3.54,4.33,6.03,7.13,7.42,7.21,7.47,7.39,6.57,6.8,6.9,7.17,7.72,7.47,7.75,7.73,7.93,7.84,8.38,8.42,7.96,7.86,9.8,10.66,9.28,10.79,12.37,14.89,16.38,17.28,20.47,16.14,18.24,21.78,21.99,22.05,21.85,17.65,15.97,17.18,18.56,18,16.27,20.62,25.59,24.05
NC,2.01,2.15,2.23,2.45,3.49,4.08,4.37,4.77,5.09,5.99,7.92,9.25,9.55,9.14,9.2,9.35,8.3,8.55,8.43,8.87,9.66,9.81,9.51,9.59,9.59,9.47,9.92,10.04,9.46,9.8,11.51,11.67,11.37,12.29,13.92,16.51,18.16,19.41,22.11,18.53,20.17,23.31,23.74,23.38,23.12,19.02,17.65,18.69,20.1,19.57,17.8,20.97,26.13,24.97
ND,1.98,2.08,2.02,2.4,3.12,3.49,3.86,4.22,4.36,5.45,7.33,8.49,8.35,8.25,7.45,6.25,5.12,5.08,5.25,5.33,5.85,5.84,5.49,5.64,5.55,5.5,6.05,5.87,5.43,5.78,7.05,7.28,6.69,7.39,8.77,10.5,11.36,12.75,14.99,11.34,13.22,17.11,17.95,18.29,18.36,13.7,12.35,13.47,14.91,14.63,12.45,15.59,19.98,18.15
NE,1.72,1.8,1.84,2.02,2.57,2.9,3.2,3.54,3.85,4.78,6.52,7.71,7.62,7.97,7.89,8.02,7.17,7.19,6.96,7.63,8.41,8.18,8.17,8.06,8.05,7.98,8.47,8.52,7.68,8.04,10.07,10.36,9.63,10.8,12.21,14.69,15.94,16.73,18.65,14.88,16.76,19.34,19.91,19.36,19.27,15.56,14.33,15.55,16.62,16.05,14.27,17.53,22.69,20.47
NH,2.18,2.26,2.29,2.57,3.84,4.32,4.4,4.82,5.32,7,9.28,11.36,10.71,10.54,10.14,10.31,8.55,8.74,9.24,9.9,10.82,10.76,10.81,11.07,11.46,11.76,11.93,12.09,11.46,11.89,13.68,13.62,12.81,14.15,15.58,18.46,21.84,23.25,26.66,22.09,24.17,27.73,28.39,27.68,27.79,22.58,20.99,22.28,24.52,23.53,21.64,25.83,34.11,32.28
NJ,1.99,2.21,2.27,2.5,3.87,4.35,4.41,4.95,5.18,6.4,8.4,9.68,9.67,9.43,9.31,9.62,8.26,8.04,8.17,8.67,9.43,9.35,8.94,9.04,9.08,9.25,9.86,9.82,8.89,9.18,11.13,11.13,10.59,12.17,14.31,16.31,19.02,19.67,23.61,19.11,21.68,24.35,24.42,23.86,23.16,18.98,17.66,19.19,20.12,19.91,18.7,21.79,27.11,25.2
NM,1.46,1.53,1.59,1.89,2.53,2.88,2.95,3.75,4.18,5.51,7.11,8.48,9.01,8.29,8.63,9.32,8.17,8.19,7.95,8.57,9.36,8.9,8.75,9.17,9.37,9.1,9.68,9.81,9.05,9.18,10.98,11.39,10.61,11.93,13.56,16.54,18.35,19.16,22.56,17.86,20.06,23.77,24.15,23.58,23.65,18.6,16.78,18.76,19.89,18.45,16.9,21.4,27.76,24.66
NV,1.95,1.96,2.06,2.25,3.05,3.52,3.72,4.28,4.61,5.82,8.17,9.3,9.52,8.95,8.71,8.93,7.77,7.41,7.73,8.18,8.97,8.75,8.99,9.04,9.58,9.22,9.83,9.89,9.24,10.07,11.76,12.97,13.05,13.88,15.68,18.01,20.05,21.28,23.67,20.01,20.88,23.36,23.74,22.82,23.19,19.45,16.67,18,20.02,19.73,17.95,21.11,28.94,28.58
NY,1.81,2.03,2.18,2.41,3.61,4.11,4.2,4.66,4.89,6.2,8.03,9.83,10.11,10.65,10.31,10.25,8.98,8.89,8.86,9.59,10.5,10.75,10.7,10.96,11.25,11.21,11.48,11.49,10.74,10.88,13.19,13.71,12.7,14.44,15.67,19.01,21.14,21.98,25.29,20.73,22.79,25.31,25.41,24.73,24.5,19.85,18.13,19.55,21.01,20.19,19.47,22.6,29.11,27.05
OH,1.5,1.65,1.71,1.84,2.59,3.06,3.2,3.72,3.96,4.86,6.23,7.1,7.8,8.23,8.06,8.25,7.36,7.37,7.26,7.65,8.27,8.42,8.25,8.59,8.59,8.55,8.87,9.09,8.79,8.99,10.42,10.9,10.37,11.49,12.84,15.39,17.14,17.77,20.36,16.99,18.11,20.43,20.49,19.88,19.76,16.57,15.6,16.7,17.44,16.96,15.29,18.48,23.26,21.65
OK,1.85,1.89,1.95,2.15,2.71,3.08,3.28,3.71,4.02,4.92,6.49,7.32,7.66,7.61,7.49,7.75,7,6.68,6.53,6.65,7.38,7.26,7.16,7.27,7.22,7.18,7.84,8.06,7.5,7.89,9.97,10.46,9.51,10.89,12.33,14.83,16.46,17.07,20.39,15.92,17.08,19.68,20.13,19.67,19.85,15.95,13.94,15.28,16.12,15.46,13.38,17.41,23.62,20.3
OR,1.85,1.92,1.92,2.07,2.81,3.16,3.44,3.84,4.16,5.17,7.07,7.82,8.16,8.02,8.08,8.27,7.03,7.13,7.11,7.5,8.08,7.87,8.01,8.35,8.46,8.58,8.89,8.63,8.11,8.79,10.56,10.97,11.11,11.97,13.21,15.26,16.91,18.21,20.88,17.58,19.11,22.13,22.59,22.05,22.12,18.96,17.38,18.36,20.27,19.87,18.13,21.46,26.92,26.55
PA,1.47,1.66,1.76,1.9,2.84,3.25,3.39,3.84,4.06,4.86,6.37,7.39,8.28,8.25,8.04,8.4,7.63,7.44,7.29,7.75,8.56,8.89,8.6,8.54,8.68,8.79,9.15,9.4,9.15,9.14,10.7,11.26,10.81,11.81,13.13,15.66,17.57,18.34,21.41,18.13,19.62,22.73,22.77,21.55,21.3,17.75,16.63,17.94,18.96,18.31,17.08,19.53,25.1,23.67
RI,1.92,2.01,2.16,2.44,3.76,4.14,4.28,4.68,5.02,6.49,8.95,10.66,10.29,10.3,9.91,9.56,8.38,8.52,8.44,9.34,10.48,10.39,9.24,10.66,9.57,9.89,10.59,11.07,9.5,9.93,13.14,14.05,12.72,14.28,16.01,19.02,22.56,22.96,26.42,21.52,23.64,26.21,26.61,26.24,26.6,22.63,21.29,22.32,24.86,24.33,23.06,25.61,31.84,31.52
SC,1.82,1.96,2.08,2.28,3.26,3.74,3.82,4.27,4.63,5.74,7.17,8.38,8.87,8.58,8.59,8.77,7.78,8.05,7.86,8.07,8.58,8.46,8.23,8.22,8.37,8.44,8.79,8.63,8.22,8.67,10.31,10.4,10.03,11.1,12.4,14.93,16.12,17.2,20.56,16.76,18.55,21.41,21.83,21.96,21.91,18.05,17.08,18.26,19.15,18.85,17.15,20.21,25.37,23.07
SD,2.12,2.16,2.09,2.48,3.32,3.63,3.73,4.09,4.39,5.86,7.74,8.85,8.65,8.69,8.65,8.55,7.2,7.36,7.35,8.03,8.69,8.41,8.34,8.33,8.23,8.28,8.81,9.05,8.28,8.58,10.54,11.05,10.09,11.17,12.8,15.18,16.84,17.69,19.66,15.42,17.23,20.47,21.05,20.25,20.38,16.32,15.04,16.31,17.45,16.65,14.94,18.85,23.68,21.31
TN,1.73,1.9,1.91,2.05,2.77,3.53,3.8,4.14,4.67,5.68,7.25,8.41,8.83,8.21,8.01,8.08,7.52,7.67,7.73,7.96,8.52,8.28,8.16,8.18,8.24,8.15,8.73,8.78,8.43,8.66,10,9.99,9.69,10.63,12.17,14.65,16.38,17.32,20.63,17.14,18.66,22.05,22.27,21.65,21.41,17.45,16.18,17.51,18.71,18.31,16.16,19.57,25.76,23.31
TX,1.28,1.33,1.4,1.48,2.29,2.83,3.17,3.51,3.71,4.77,6.15,7.26,7.66,7.59,7.54,7.12,5.74,5.77,5.58,5.65,6.51,6.35,6.27,6.44,6.57,6.42,7.06,6.9,6.08,6.71,8.74,8.86,7.96,9.76,11.41,14.72,16.78,17.79,21.71,15.75,17.36,20.45,19.11,18.94,18.78,13.62,12.47,14.02,15.24,14.02,11.83,16.38,20.78,17.37
UT,1.31,1.39,1.47,1.6,2.23,2.59,2.71,3.15,3.42,4.43,5.79,6.7,7.29,6.95,7.09,7.25,7,7.41,6.83,6.84,7.18,6.97,7.17,6.98,6.99,7.02,7.56,7.66,6.99,7.51,8.72,9.27,9.18,10.19,11.39,13.73,15.88,16.51,18.7,15.03,17.04,20.3,21.17,20.67,21.02,17.24,15.79,16.93,18.48,17.48,15.91,19.71,25.03,23.79
VA,1.8,1.88,1.99,2.21,3.33,3.95,4.16,4.72,4.94,5.99,7.95,9.03,9.19,8.9,8.59,8.67,7.44,7.62,7.58,8.04,8.61,8.53,8.61,8.75,8.64,8.75,9.13,9.23,8.44,8.8,10.42,10.71,10.45,11.27,12.67,14.98,16.63,17.56,21.18,17.56,19.13,22.31,22.74,22.13,21.79,17.69,16.28,17.5,19.05,18.51,16.69,19.72,25.57,23.81
VT,2.37,2.52,2.64,2.86,4.08,4.33,4.48,4.75,5.03,6.62,8.97,10.46,10.53,10.26,10.07,10.11,8.86,9.14,9.19,9.91,11.24,10.87,10.65,10.69,10.85,11.21,11.73,11.4,11.08,11.69,13.6,13.9,13.8,14.66,15.96,18.66,21.03,22.9,27.01,21.15,23.68,27.93,29.08,28.28,27.71,21.34,19.92,21.52,23.14,22.16,21.31,25.18,31.81,29.76
WA,1.58,1.64,1.64,1.79,2.39,2.79,3.03,3.32,3.48,4.34,5.89,6.84,7.46,7.45,7.47,7.37,6.2,6.23,6.26,6.54,7.03,7.11,6.59,7.02,7.23,7.34,7.88,7.85,7.01,7.64,9.53,10.44,10.45,11.5,13.06,14.99,16.46,17.71,20.61,16.78,18.42,21.48,21.77,21.53,21.18,17.45,15.89,17.78,19.69,19.1,17.64,20.95,26.93,26.35
WI,1.76,1.86,2,2.26,2.92,3.28,3.64,3.97,4.14,5.25,6.72,7.91,8.34,8.36,8.44,8.41,7.6,7.56,7.4,7.49,8.01,7.89,7.85,7.93,7.92,7.82,8.2,8.26,7.97,8.23,9.93,10.56,10,11.32,12.75,15.08,16.75,17.95,20.14,16.7,18.46,20.91,21.35,20.28,20.66,16.97,15.77,16.74,17.51,16.9,15.51,19.43,24.06,22.7
WV,1.15,1.31,1.38,1.5,2.17,2.8,2.96,3.39,3.57,4.34,5.55,6.46,6.96,7.2,6.72,7.3,6.17,6.21,5.94,6.21,6.81,7.09,7.12,7.18,7.17,7.51,7.72,7.91,7.26,7.64,8.78,8.81,8.53,9.68,10.85,13.24,14.39,15.02,17.64,15.98,17.41,20.51,21.18,20.61,20.06,16.85,16.42,17.57,18.76,17.79,16.45,19.57,25.49,24.29
WY,1.32,1.5,1.33,1.59,2.18,2.55,2.69,2.93,3.22,4.27,5.86,6.68,6.61,6.55,6.79,6.79,6.17,6.1,6.15,6.53,6.53,6.26,5.97,6.13,6.03,6.18,6.38,6.48,5.96,6.56,7.92,8.51,8.03,8.8,10.31,12.94,14.55,14.95,17.86,13.64,15.3,18.13,18.63,18.38,18.74,14.82,13.22,14.47,15.38,14.91,13.56,17.27,21.76,19.69
US,1.65,1.76,1.84,2.02,2.87,3.33,3.57,3.98,4.23,5.22,6.89,8.04,8.47,8.4,8.3,8.38,7.32,7.36,7.29,7.59,8.29,8.25,8.16,8.29,8.33,8.31,8.77,8.83,8.22,8.58,10.33,10.78,10.1,11.44,12.9,15.57,17.4,18.34,21.53,17.26,18.92,21.87,21.84,21.42,21.33,17.31,15.95,17.32,18.61,17.96,16.24,19.98,25.66,23.59
