YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION
2015,10,MD,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"1,538"
2015,10,MD,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"25,104"
2015,10,MD,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),165
2015,10,MD,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2015,10,MD,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"493,460"
2015,10,MD,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),158
2015,10,MD,"Combined Heat and Power, Electric Power",Coal (Short Tons),"47,593"
2015,10,MD,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"983,882"
2015,10,MD,"Combined Heat and Power, Electric Power",Petroleum (Barrels),455
2015,10,MD,"Electric Generators, Independent Power Producers",Coal (Short Tons),"273,885"
2015,10,MD,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,813,679"
2015,10,MD,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"14,612"
2015,10,MD,"Electric Generators, Electric Utilities",Natural Gas (Mcf),0
2015,10,MD,"Electric Generators, Electric Utilities",Petroleum (Barrels),772
2015,10,ME,Total Electric Power Industry,Coal (Short Tons),"1,659"
2015,10,ME,Total Electric Power Industry,Natural Gas (Mcf),"2,821,090"
2015,10,ME,Total Electric Power Industry,Petroleum (Barrels),"14,375"
2015,10,ME,"Combined Heat and Power, Industrial Power",Coal (Short Tons),282
2015,10,ME,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"257,019"
2015,10,ME,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,474"
2015,10,ME,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"49,271"
2015,10,ME,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),358
2015,10,ME,"Combined Heat and Power, Electric Power",Coal (Short Tons),"1,377"
2015,10,ME,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"33,978"
2015,10,ME,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"1,039"
2015,10,ME,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,480,822"
2015,10,ME,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"11,502"
2015,10,ME,"Electric Generators, Electric Utilities",Petroleum (Barrels),2
2015,10,MI,Total Electric Power Industry,Coal (Short Tons),"2,360,806"
2015,10,MI,Total Electric Power Industry,Natural Gas (Mcf),"14,635,065"
2015,10,MI,Total Electric Power Industry,Other Gases (Billion Btu),130
2015,10,MI,Total Electric Power Industry,Petroleum (Barrels),"83,220"
2015,10,MI,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"5,288"
2015,10,MI,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"665,758"
2015,10,MI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"10,455"
2015,10,MI,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"1,098"
2015,10,MI,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"297,597"
2015,10,MI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),359
2015,10,MI,"Combined Heat and Power, Electric Power",Coal (Short Tons),"18,213"
2015,10,MI,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"5,098,957"
2015,10,MI,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),1
2015,10,MI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"11,965"
2015,10,MI,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2015,10,MI,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,740,985"
2015,10,MI,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2015,10,MI,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,336,207"
2015,10,MI,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"5,831,768"
2015,10,MI,"Electric Generators, Electric Utilities",Other Gases (Billion Btu),129
2015,10,MI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"60,441"
2015,10,MN,Total Electric Power Industry,Coal (Short Tons),"1,071,650"
2015,10,MN,Total Electric Power Industry,Natural Gas (Mcf),"3,279,654"
2015,10,MN,Total Electric Power Industry,Petroleum (Barrels),"3,340"
2015,10,MN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"25,184"
2015,10,MN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"32,455"
2015,10,MN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),46
2015,10,MN,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2015,10,MN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"62,901"
2015,10,MN,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),105
2015,10,MN,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"88,963"
2015,10,MN,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2015,10,MN,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"30,833"
2015,10,MN,"Electric Generators, Independent Power Producers",Petroleum (Barrels),520
2015,10,MN,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,046,466"
2015,10,MN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,064,502"
2015,10,MN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"2,669"
2015,10,MO,Total Electric Power Industry,Coal (Short Tons),"2,955,125"
2015,10,MO,Total Electric Power Industry,Natural Gas (Mcf),"1,597,684"
2015,10,MO,Total Electric Power Industry,Petroleum (Barrels),"9,067"
2015,10,MO,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2015,10,MO,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"35,434"
2015,10,MO,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2015,10,MO,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"2,061"
2015,10,MO,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"79,429"
2015,10,MO,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),5
2015,10,MO,"Combined Heat and Power, Electric Power",Coal (Short Tons),"1,027"
2015,10,MO,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"11,436"
2015,10,MO,"Combined Heat and Power, Electric Power",Petroleum (Barrels),1
2015,10,MO,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2015,10,MO,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"230,778"
2015,10,MO,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2015,10,MO,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,952,037"
2015,10,MO,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,240,607"
2015,10,MO,"Electric Generators, Electric Utilities",Petroleum (Barrels),"9,061"
2015,10,MS,Total Electric Power Industry,Coal (Short Tons),"147,858"
2015,10,MS,Total Electric Power Industry,Natural Gas (Mcf),"23,997,151"
2015,10,MS,Total Electric Power Industry,Petroleum (Barrels),290
2015,10,MS,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2015,10,MS,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"190,292"
2015,10,MS,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),42
2015,10,MS,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"2,270"
2015,10,MS,"Electric Generators, Independent Power Producers",Coal (Short Tons),"124,482"
2015,10,MS,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"513,402"
2015,10,MS,"Electric Generators, Electric Utilities",Coal (Short Tons),"23,376"
2015,10,MS,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"23,291,187"
2015,10,MS,"Electric Generators, Electric Utilities",Petroleum (Barrels),248
2015,10,MT,Total Electric Power Industry,Coal (Short Tons),"938,246"
2015,10,MT,Total Electric Power Industry,Natural Gas (Mcf),"514,150"
2015,10,MT,Total Electric Power Industry,Other Gases (Billion Btu),16
2015,10,MT,Total Electric Power Industry,Petroleum (Barrels),"81,798"
2015,10,MT,"Combined Heat and Power, Industrial Power",Coal (Short Tons),506
2015,10,MT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),0
2015,10,MT,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),0
2015,10,MT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2015,10,MT,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),16
2015,10,MT,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"79,730"
2015,10,MT,"Electric Generators, Independent Power Producers",Coal (Short Tons),"937,740"
2015,10,MT,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"48,173"
2015,10,MT,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"2,028"
2015,10,MT,"Electric Generators, Electric Utilities",Coal (Short Tons),0
2015,10,MT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"465,977"
2015,10,MT,"Electric Generators, Electric Utilities",Petroleum (Barrels),40
2015,10,NC,Total Electric Power Industry,Coal (Short Tons),"796,160"
2015,10,NC,Total Electric Power Industry,Natural Gas (Mcf),"19,492,658"
2015,10,NC,Total Electric Power Industry,Petroleum (Barrels),"16,808"
2015,10,NC,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"2,709"
2015,10,NC,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"81,324"
2015,10,NC,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),617
2015,10,NC,"Combined Heat and Power, Commercial Power",Coal (Short Tons),849
2015,10,NC,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"6,318"
2015,10,NC,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),13
2015,10,NC,"Combined Heat and Power, Electric Power",Coal (Short Tons),"3,088"
2015,10,NC,"Combined Heat and Power, Electric Power",Petroleum (Barrels),432
2015,10,NC,"Electric Generators, Independent Power Producers",Coal (Short Tons),"1,346"
2015,10,NC,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,434,897"
2015,10,NC,"Electric Generators, Independent Power Producers",Petroleum (Barrels),161
2015,10,NC,"Electric Generators, Electric Utilities",Coal (Short Tons),"788,168"
2015,10,NC,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"16,970,119"
2015,10,NC,"Electric Generators, Electric Utilities",Petroleum (Barrels),"15,585"
2015,10,ND,Total Electric Power Industry,Coal (Short Tons),"1,757,947"
2015,10,ND,Total Electric Power Industry,Natural Gas (Mcf),"449,498"
2015,10,ND,Total Electric Power Industry,Other Gases (Billion Btu),5
2015,10,ND,Total Electric Power Industry,Petroleum (Barrels),"3,388"
2015,10,ND,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"9,511"
2015,10,ND,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"6,348"
2015,10,ND,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),5
2015,10,ND,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),51
2015,10,ND,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),2
2015,10,ND,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,748,436"
2015,10,ND,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"443,150"
2015,10,ND,"Electric Generators, Electric Utilities",Petroleum (Barrels),"3,335"
2015,10,NE,Total Electric Power Industry,Coal (Short Tons),"1,193,496"
2015,10,NE,Total Electric Power Industry,Natural Gas (Mcf),"102,557"
2015,10,NE,Total Electric Power Industry,Petroleum (Barrels),549
2015,10,NE,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"28,219"
2015,10,NE,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),25
2015,10,NE,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),84
2015,10,NE,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,165,277"
2015,10,NE,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"102,448"
2015,10,NE,"Electric Generators, Electric Utilities",Petroleum (Barrels),549
2015,10,NH,Total Electric Power Industry,Coal (Short Tons),"8,874"
2015,10,NH,Total Electric Power Industry,Natural Gas (Mcf),"3,406,228"
2015,10,NH,Total Electric Power Industry,Petroleum (Barrels),"1,668"
2015,10,NH,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"11,170"
2015,10,NH,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2015,10,NH,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"20,160"
2015,10,NH,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),62
2015,10,NH,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"3,374,186"
2015,10,NH,"Electric Generators, Independent Power Producers",Petroleum (Barrels),208
2015,10,NH,"Electric Generators, Electric Utilities",Coal (Short Tons),"8,874"
2015,10,NH,"Electric Generators, Electric Utilities",Natural Gas (Mcf),712
2015,10,NH,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,398"
2015,10,NJ,Total Electric Power Industry,Coal (Short Tons),"39,698"
2015,10,NJ,Total Electric Power Industry,Natural Gas (Mcf),"23,088,640"
2015,10,NJ,Total Electric Power Industry,Other Gases (Billion Btu),224
2015,10,NJ,Total Electric Power Industry,Petroleum (Barrels),"8,002"
2015,10,NJ,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"265,530"
2015,10,NJ,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),224
2015,10,NJ,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"3,091"
2015,10,NJ,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"156,203"
2015,10,NJ,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),5
2015,10,NJ,"Combined Heat and Power, Electric Power",Coal (Short Tons),"38,453"
2015,10,NJ,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"2,447,812"
2015,10,NJ,"Combined Heat and Power, Electric Power",Petroleum (Barrels),810
2015,10,NJ,"Electric Generators, Independent Power Producers",Coal (Short Tons),"1,245"
2015,10,NJ,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"20,158,622"
2015,10,NJ,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"4,042"
2015,10,NJ,"Electric Generators, Electric Utilities",Coal (Short Tons),0
2015,10,NJ,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"60,473"
2015,10,NJ,"Electric Generators, Electric Utilities",Petroleum (Barrels),54
2015,10,NM,Total Electric Power Industry,Coal (Short Tons),"988,189"
2015,10,NM,Total Electric Power Industry,Geothermal (Billion Btu),8
2015,10,NM,Total Electric Power Industry,Natural Gas (Mcf),"6,030,337"
2015,10,NM,Total Electric Power Industry,Petroleum (Barrels),"5,846"
2015,10,NM,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,317"
2015,10,NM,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2015,10,NM,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"105,687"
2015,10,NM,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"104,502"
2015,10,NM,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),8
2015,10,NM,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,881,749"
2015,10,NM,"Electric Generators, Electric Utilities",Coal (Short Tons),"988,189"
2015,10,NM,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,937,082"
2015,10,NM,"Electric Generators, Electric Utilities",Petroleum (Barrels),"5,846"
2015,10,NV,Total Electric Power Industry,Coal (Short Tons),"118,936"
2015,10,NV,Total Electric Power Industry,Geothermal (Billion Btu),"2,499"
2015,10,NV,Total Electric Power Industry,Natural Gas (Mcf),"18,278,267"
2015,10,NV,Total Electric Power Industry,Other Gases (Billion Btu),5
2015,10,NV,Total Electric Power Industry,Petroleum (Barrels),"2,962"
2015,10,NV,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"229,871"
2015,10,NV,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"61,932"
2015,10,NV,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,404,145"
2015,10,NV,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),5
2015,10,NV,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2015,10,NV,"Electric Generators, Independent Power Producers",Coal (Short Tons),"38,284"
2015,10,NV,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),"2,499"
2015,10,NV,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"3,062"
2015,10,NV,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"1,058"
2015,10,NV,"Electric Generators, Electric Utilities",Coal (Short Tons),"80,652"
2015,10,NV,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"16,579,257"
2015,10,NV,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,904"
2015,10,NY,Total Electric Power Industry,Coal (Short Tons),"53,623"
2015,10,NY,Total Electric Power Industry,Natural Gas (Mcf),"39,456,699"
2015,10,NY,Total Electric Power Industry,Other Gases (Billion Btu),0
2015,10,NY,Total Electric Power Industry,Petroleum (Barrels),"27,543"
2015,10,NY,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"4,840"
2015,10,NY,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"193,227"
2015,10,NY,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),0
2015,10,NY,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"2,199"
2015,10,NY,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2015,10,NY,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"635,163"
2015,10,NY,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),915
2015,10,NY,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"9,131,510"
2015,10,NY,"Combined Heat and Power, Electric Power",Petroleum (Barrels),441
2015,10,NY,"Electric Generators, Independent Power Producers",Coal (Short Tons),"48,783"
2015,10,NY,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"21,285,617"
2015,10,NY,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"2,676"
2015,10,NY,"Electric Generators, Electric Utilities",Coal (Short Tons),0
2015,10,NY,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"8,211,182"
2015,10,NY,"Electric Generators, Electric Utilities",Petroleum (Barrels),"21,312"
2015,10,OH,Total Electric Power Industry,Coal (Short Tons),"2,272,835"
2015,10,OH,Total Electric Power Industry,Natural Gas (Mcf),"13,720,716"
2015,10,OH,Total Electric Power Industry,Other Gases (Billion Btu),841
2015,10,OH,Total Electric Power Industry,Petroleum (Barrels),"217,806"
2015,10,OH,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"4,450"
2015,10,OH,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"45,591"
2015,10,OH,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),111
2015,10,OH,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),868
2015,10,OH,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2015,10,OH,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"127,054"
2015,10,OH,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),61
2015,10,OH,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2015,10,OH,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"69,600"
2015,10,OH,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),730
2015,10,OH,"Electric Generators, Independent Power Producers",Coal (Short Tons),"1,515,366"
2015,10,OH,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"9,265,237"
2015,10,OH,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"211,544"
2015,10,OH,"Electric Generators, Electric Utilities",Coal (Short Tons),"753,019"
2015,10,OH,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"4,213,234"
2015,10,OH,"Electric Generators, Electric Utilities",Petroleum (Barrels),"5,333"
2015,10,OK,Total Electric Power Industry,Coal (Short Tons),"1,373,176"
2015,10,OK,Total Electric Power Industry,Natural Gas (Mcf),"16,380,078"
2015,10,OK,Total Electric Power Industry,Petroleum (Barrels),"1,812"
2015,10,OK,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"14,182"
2015,10,OK,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"88,943"
2015,10,OK,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),250
2015,10,OK,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2015,10,OK,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),1
2015,10,OK,"Combined Heat and Power, Electric Power",Coal (Short Tons),"136,229"
2015,10,OK,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"87,384"
2015,10,OK,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"5,048,842"
2015,10,OK,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,222,765"
2015,10,OK,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"11,154,909"
2015,10,OK,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,561"
2015,10,OR,Total Electric Power Industry,Coal (Short Tons),"205,192"
2015,10,OR,Total Electric Power Industry,Geothermal (Billion Btu),146
2015,10,OR,Total Electric Power Industry,Natural Gas (Mcf),"10,923,622"
2015,10,OR,Total Electric Power Industry,Petroleum (Barrels),"1,250"
2015,10,OR,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"43,900"
2015,10,OR,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2015,10,OR,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"55,021"
2015,10,OR,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),8
2015,10,OR,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"3,375,221"
2015,10,OR,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),141
2015,10,OR,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,765,210"
2015,10,OR,"Electric Generators, Electric Utilities",Coal (Short Tons),"205,192"
2015,10,OR,"Electric Generators, Electric Utilities",Geothermal (Billion Btu),5
2015,10,OR,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"4,684,270"
2015,10,OR,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,242"
2015,10,PA,Total Electric Power Industry,Coal (Short Tons),"1,634,918"
2015,10,PA,Total Electric Power Industry,Natural Gas (Mcf),"38,057,960"
2015,10,PA,Total Electric Power Industry,Other Gases (Billion Btu),408
2015,10,PA,Total Electric Power Industry,Petroleum (Barrels),"61,037"
2015,10,PA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"13,062"
2015,10,PA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"580,376"
2015,10,PA,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),408
2015,10,PA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"22,541"
2015,10,PA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2015,10,PA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"111,126"
2015,10,PA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),535
2015,10,PA,"Combined Heat and Power, Electric Power",Coal (Short Tons),"254,577"
2015,10,PA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"2,649,638"
2015,10,PA,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),0
2015,10,PA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"2,738"
2015,10,PA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"1,367,279"
2015,10,PA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"34,713,896"
2015,10,PA,"Electric Generators, Independent Power Producers",Other Gases (Billion Btu),0
2015,10,PA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"35,198"
2015,10,PA,"Electric Generators, Electric Utilities",Coal (Short Tons),0
2015,10,PA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"2,924"
2015,10,PA,"Electric Generators, Electric Utilities",Petroleum (Barrels),25
2015,10,RI,Total Electric Power Industry,Coal (Short Tons),0
2015,10,RI,Total Electric Power Industry,Natural Gas (Mcf),"3,913,560"
2015,10,RI,Total Electric Power Industry,Petroleum (Barrels),263
2015,10,RI,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"53,769"
2015,10,RI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),101
2015,10,RI,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2015,10,RI,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"3,859,791"
2015,10,RI,"Electric Generators, Independent Power Producers",Petroleum (Barrels),5
2015,10,RI,"Electric Generators, Electric Utilities",Petroleum (Barrels),157
2015,10,SC,Total Electric Power Industry,Coal (Short Tons),"572,738"
2015,10,SC,Total Electric Power Industry,Natural Gas (Mcf),"12,480,229"
2015,10,SC,Total Electric Power Industry,Petroleum (Barrels),"18,535"
2015,10,SC,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"4,079"
2015,10,SC,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"22,167"
2015,10,SC,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"4,042"
2015,10,SC,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"1,894"
2015,10,SC,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),12
2015,10,SC,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"388,678"
2015,10,SC,"Combined Heat and Power, Electric Power",Petroleum (Barrels),281
2015,10,SC,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"133,237"
2015,10,SC,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2015,10,SC,"Electric Generators, Electric Utilities",Coal (Short Tons),"568,659"
2015,10,SC,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"11,934,253"
2015,10,SC,"Electric Generators, Electric Utilities",Petroleum (Barrels),"14,200"
2015,10,SD,Total Electric Power Industry,Coal (Short Tons),"133,516"
2015,10,SD,Total Electric Power Industry,Natural Gas (Mcf),"290,802"
2015,10,SD,Total Electric Power Industry,Petroleum (Barrels),"1,747"
2015,10,SD,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),3
2015,10,SD,"Electric Generators, Independent Power Producers",Petroleum (Barrels),4
2015,10,SD,"Electric Generators, Electric Utilities",Coal (Short Tons),"133,516"
2015,10,SD,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"290,802"
2015,10,SD,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,740"
2015,10,TN,Total Electric Power Industry,Coal (Short Tons),"736,381"
2015,10,TN,Total Electric Power Industry,Natural Gas (Mcf),"4,750,912"
2015,10,TN,Total Electric Power Industry,Other Gases (Billion Btu),8
2015,10,TN,Total Electric Power Industry,Petroleum (Barrels),"13,266"
2015,10,TN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"16,360"
2015,10,TN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"104,029"
2015,10,TN,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),8
2015,10,TN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),411
2015,10,TN,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2015,10,TN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"84,460"
2015,10,TN,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),2
2015,10,TN,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),0
2015,10,TN,"Electric Generators, Independent Power Producers",Petroleum (Barrels),25
2015,10,TN,"Electric Generators, Electric Utilities",Coal (Short Tons),"720,021"
2015,10,TN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"4,562,423"
2015,10,TN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"12,828"
